code,publication_date
33200,2017-11-08 00:00:00.000000000
33519,2017-11-08 00:00:00.000000000
33249,2017-11-08 00:00:00.000000000
33273,2017-11-08 00:00:00.000000000
33312,2017-11-08 00:00:00.000000000
33318,2017-11-08 00:00:00.000000000
33376,2017-11-08 00:00:00.000000000
33434,2017-11-08 00:00:00.000000000
33449,2017-11-08 00:00:00.000000000
33487,2017-11-08 00:00:00.000000000
33522,2017-11-08 00:00:00.000000000
33550,2017-11-08 00:00:00.000000000
42130,2017-12-28 00:00:00.000000000
31091,2018-01-19 00:00:00.000000000
31186,2018-01-29 00:00:00.000000000
42247,2018-03-22 00:00:00.000000000
29042,2018-04-16 00:00:00.000000000
29077,2018-04-16 00:00:00.000000000
29047,2018-04-16 00:00:00.000000000
29177,2018-04-16 00:00:00.000000000
29290,2018-04-16 00:00:00.000000000
92050,2018-04-18 00:00:00.000000000
42040,2018-05-03 00:00:00.000000000
31003,2018-05-14 00:00:00.000000000
42045,2018-05-15 00:00:00.000000000
67363,2018-05-16 00:00:00.000000000
35152,2018-05-25 00:00:00.000000000
42035,2018-06-04 00:00:00.000000000
42238,2018-06-18 00:00:00.000000000
42050,2018-07-18 00:00:00.000000000
44183,2018-08-10 00:00:00.000000000
60593,2018-08-21 00:00:00.000000000
19135,2018-08-29 00:00:00.000000000
24562,2018-10-01 00:00:00.000000000
31116,2018-10-04 00:00:00.000000000
30081,2018-10-04 00:00:00.000000000
94059,2018-10-09 00:00:00.000000000
30251,2018-10-10 00:00:00.000000000
42188,2018-11-08 00:00:00.000000000
24174,2018-11-20 00:00:00.000000000
54395,2018-11-28 00:00:00.000000000
19053,2018-11-29 00:00:00.000000000
04070,2018-12-17 00:00:00.000000000
06156,2018-12-21 00:00:00.000000000
06157,2018-12-21 00:00:00.000000000
25105,2018-12-31 00:00:00.000000000
25267,2018-12-31 00:00:00.000000000
25152,2018-12-31 00:00:00.000000000
25376,2018-12-31 00:00:00.000000000
25418,2018-12-31 00:00:00.000000000
25438,2018-12-31 00:00:00.000000000
25454,2018-12-31 00:00:00.000000000
25477,2018-12-31 00:00:00.000000000
25495,2018-12-31 00:00:00.000000000
25557,2018-12-31 00:00:00.000000000
25564,2018-12-31 00:00:00.000000000
25631,2018-12-31 00:00:00.000000000
74001,2019-01-29 00:00:00.000000000
74002,2019-01-29 00:00:00.000000000
74003,2019-01-29 00:00:00.000000000
74005,2019-01-29 00:00:00.000000000
74006,2019-01-29 00:00:00.000000000
74004,2019-01-29 00:00:00.000000000
74007,2019-01-29 00:00:00.000000000
74008,2019-01-29 00:00:00.000000000
74010,2019-01-29 00:00:00.000000000
74012,2019-01-29 00:00:00.000000000
74013,2019-01-29 00:00:00.000000000
74015,2019-01-29 00:00:00.000000000
74016,2019-01-29 00:00:00.000000000
74018,2019-01-29 00:00:00.000000000
74019,2019-01-29 00:00:00.000000000
74020,2019-01-29 00:00:00.000000000
74021,2019-01-29 00:00:00.000000000
74014,2019-01-29 00:00:00.000000000
74024,2019-01-29 00:00:00.000000000
74025,2019-01-29 00:00:00.000000000
74029,2019-01-29 00:00:00.000000000
74032,2019-01-29 00:00:00.000000000
74033,2019-01-29 00:00:00.000000000
74035,2019-01-29 00:00:00.000000000
74036,2019-01-29 00:00:00.000000000
74038,2019-01-29 00:00:00.000000000
74040,2019-01-29 00:00:00.000000000
74041,2019-01-29 00:00:00.000000000
74042,2019-01-29 00:00:00.000000000
74043,2019-01-29 00:00:00.000000000
74044,2019-01-29 00:00:00.000000000
74046,2019-01-29 00:00:00.000000000
74037,2019-01-29 00:00:00.000000000
74048,2019-01-29 00:00:00.000000000
74049,2019-01-29 00:00:00.000000000
74050,2019-01-29 00:00:00.000000000
74051,2019-01-29 00:00:00.000000000
74052,2019-01-29 00:00:00.000000000
74053,2019-01-29 00:00:00.000000000
74054,2019-01-29 00:00:00.000000000
74055,2019-01-29 00:00:00.000000000
74056,2019-01-29 00:00:00.000000000
74057,2019-01-29 00:00:00.000000000
74061,2019-01-29 00:00:00.000000000
74062,2019-01-29 00:00:00.000000000
74066,2019-01-29 00:00:00.000000000
74067,2019-01-29 00:00:00.000000000
74070,2019-01-29 00:00:00.000000000
74071,2019-01-29 00:00:00.000000000
74072,2019-01-29 00:00:00.000000000
74073,2019-01-29 00:00:00.000000000
74074,2019-01-29 00:00:00.000000000
74075,2019-01-29 00:00:00.000000000
74076,2019-01-29 00:00:00.000000000
74063,2019-01-29 00:00:00.000000000
74064,2019-01-29 00:00:00.000000000
74068,2019-01-29 00:00:00.000000000
74069,2019-01-29 00:00:00.000000000
74077,2019-01-29 00:00:00.000000000
74078,2019-01-29 00:00:00.000000000
74081,2019-01-29 00:00:00.000000000
74082,2019-01-29 00:00:00.000000000
74083,2019-01-29 00:00:00.000000000
74086,2019-01-29 00:00:00.000000000
74087,2019-01-29 00:00:00.000000000
74088,2019-01-29 00:00:00.000000000
74089,2019-01-29 00:00:00.000000000
74090,2019-01-29 00:00:00.000000000
74094,2019-01-29 00:00:00.000000000
74095,2019-01-29 00:00:00.000000000
74096,2019-01-29 00:00:00.000000000
74097,2019-01-29 00:00:00.000000000
74098,2019-01-29 00:00:00.000000000
74099,2019-01-29 00:00:00.000000000
74100,2019-01-29 00:00:00.000000000
74102,2019-01-29 00:00:00.000000000
74101,2019-01-29 00:00:00.000000000
74103,2019-01-29 00:00:00.000000000
74104,2019-01-29 00:00:00.000000000
74106,2019-01-29 00:00:00.000000000
74107,2019-01-29 00:00:00.000000000
74108,2019-01-29 00:00:00.000000000
74111,2019-01-29 00:00:00.000000000
74112,2019-01-29 00:00:00.000000000
74114,2019-01-29 00:00:00.000000000
74116,2019-01-29 00:00:00.000000000
74121,2019-01-29 00:00:00.000000000
74122,2019-01-29 00:00:00.000000000
74123,2019-01-29 00:00:00.000000000
74124,2019-01-29 00:00:00.000000000
74126,2019-01-29 00:00:00.000000000
74128,2019-01-29 00:00:00.000000000
74282,2019-01-29 00:00:00.000000000
74130,2019-01-29 00:00:00.000000000
74131,2019-01-29 00:00:00.000000000
74127,2019-01-29 00:00:00.000000000
74133,2019-01-29 00:00:00.000000000
74135,2019-01-29 00:00:00.000000000
74212,2019-01-29 00:00:00.000000000
74137,2019-01-29 00:00:00.000000000
74138,2019-01-29 00:00:00.000000000
74139,2019-01-29 00:00:00.000000000
74140,2019-01-29 00:00:00.000000000
74141,2019-01-29 00:00:00.000000000
74142,2019-01-29 00:00:00.000000000
74144,2019-01-29 00:00:00.000000000
74026,2019-01-29 00:00:00.000000000
74027,2019-01-29 00:00:00.000000000
74030,2019-01-29 00:00:00.000000000
